doc_id,claude5,docupipe_high,docupipe_standard,extend,gemini,gpt,reducto,reducto_standard,unstructured
Oe7iRM1G,0.8098159509202455,1.0,0.9551374819102749,0.8098159509202455,0.9476603955619874,1.0,1.0,0.9464544138929087,0.8831818181818184
PSU5pciM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286
PYhFptk3,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0
QxoQ6zgn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
SBR9L7Y8,0.3448275862068966,1.0,1.0,0.4482758620689655,0.896551724137931,0.896551724137931,0.6206896551724138,0.13793103448275862,0.9655172413793104
SkD8Lz8o,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UnG6cLfP,1.0,1.0,1.0,0.9131313131313131,0.9696969696969697,0.9696969696969697,0.9411764705882353,0.9411764705882353,0.9696969696969697
UqY6ItFZ,0.804797742238941,0.9871433051113218,0.9838507369081233,0.2530573847601127,0.13295703982439627,0.17042960175603591,0.32141737221699146,0.01944183129507681,0.0634995296331138
VJeLz6Am,0.9880634920634912,0.9919841269841263,0.9828095238095227,0.46769841269841256,0.15071428571428572,0.8633711762850872,0.7526190476190513,0.7956190476190521,0.05549206349206348
WM9ZKrAr,0.8897569444444443,0.9993055555555556,0.9982638888888888,0.9828125,0.0,0.0,0.9511408730158731,0.09236111111111113,0.2657738095238095
WnxX1Buq,0.9333333333333333,1.0,1.0,0.8484848484848485,1.0,0.975,1.0,1.0,1.0
WxP8Tqgf,1.0,0.9735054347826086,0.9735054347826086,0.9429347826086957,1.0,0.9646739130434783,1.0,1.0,0.9782608695652174
XhJyv5mb,0.9217391304347826,0.9826086956521739,0.9565217391304348,0.7350427350427351,0.991304347826087,0.9565217391304348,0.9217391304347826,0.991304347826087,0.7217391304347827
ZN6HbuKp,0.9714285714285714,1.0,0.9857142857142858,0.5396825396825397,1.0,1.0,1.0,1.0,1.0
ZXlksSpk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bjBNmyNw,1.0,0.9523809523809523,0.9523809523809523,0.9761904761904762,1.0,0.6666666666666666,0.9285714285714286,0.7619047619047619,0.8333333333333334
eKzY7gEA,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,1.0
eeqkpCkH,0.9071428571428565,0.9845410628019321,0.9396135265700474,0.2657004830917875,0.0,0.5666666666666675,0.7080193236714993,0.936897880539497,0.00821256038647343
f9nrfUNC,0.6135057471264369,0.8599137931034483,0.7794540229885055,0.0711206896551724,0.6228448275862071,0.3778735632183906,0.8908045977011494,0.46767241379310354,0.5330459770114944
fK6kDNqE,0.9642583470169617,0.9787318542864932,0.9926595453300462,0.29018077239112605,0.0887428101889893,0.0,0.9286770747740304,0.9826348945494364,0.03683922213092302
iTruRDrG,0.7333333333333333,0.8,0.8,0.6153846153846154,1.0,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9818181818181818
jlKc8eVi,1.0,0.9840101522842638,0.9840101522842638,0.9071065989847712,1.0,0.9949238578680203,1.0,1.0,0.8027918781725891
kcnZ5EWa,0.6478283621140764,0.8556998556998493,0.8756449948400409,0.44740973312401877,0.061224489795918415,0.0,0.6567242281528005,0.7068965517241415,0.0
nESapyAA,0.9090909090909091,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909091,0.9090909090909091,1.0,0.8636363636363636,0.8636363636363636
o0dn9Dd4,0.9173431734317357,0.9922509225092243,0.9827171903881693,0.24488601355514478,0.0,0.0,0.5633394947627846,0.31127541589648805,0.8848428835489869
phovuuuk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pw8elPW9,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.7592592592592593,0.9814814814814815
qQUPWQNA,0.7282920784598185,0.7633511651101644,0.7814195882504955,0.7370568501224051,0.7210497602434898,0.7608740465883324,0.7832945865161076,0.6049738073227445,0.6264794079178228
qRCO6ev5,0.6323529411764706,0.7720588235294121,0.8455882352941176,0.38235294117647084,0.14705882352941177,0.022058823529411766,0.1323529411764706,0.426470588235294,0.03676470588235294
qoSTXgNE,0.65,0.6944444444444444,0.65625,0.6944444444444444,0.7307692307692307,0.6857142857142857,0.75,0.625,0.6102941176470589
sHMajYzm,0.944897959183674,0.9854251700680255,0.9767962308598341,0.5726020408163278,0.28666666666666635,0.7231207482993208,0.6552040816326536,0.7882738095238125,0.0714965986394558
tLFa76nQ,0.8604146034032591,0.9769402178806157,0.9469177319495793,0.8760504374255554,0.908355091383812,0.9743945259746104,0.896583235797245,0.9428716124966238,0.8160315566759698
vAdukzpt,0.9708543922984306,0.9978339350180501,0.9877256317689506,0.9780866425992741,0.0,0.0,0.9635018050541446,0.16223826714801473,0.0
vBIz5dut,1.0,1.0,1.0,0.9769385026737968,0.9769385026737968,0.9886363636363636,0.9769385026737968,0.9769385026737968,1.0
wVafMvAC,1.0,0.8973821989528795,1.0,0.7864406779661015,1.0,0.968361581920904,0.8734463276836159,0.8094240837696336,0.968361581920904
yTRFKVPx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8833333333333333
zKibU88u,1.0,1.0,1.0,1.0,1.0,1.0,0.8863636363636364,0.8863636363636364,0.8863636363636364
AGGREGATE,0.9173235017415949,0.9701698744772776,0.9614012697811246,0.8027669374245345,0.7297547069606681,0.7647756598273756,0.8937915784838248,0.8111096064995544,0.676743967745659
